Bedrooms,Bathrooms,Balconies,Pujaz_Rooms,Super_area,Carpet_area,Floor_Number,Total_Floors,Furnished_status,Facing,Address,Price
2,2,2,1,1125,980,4,5,Unfurnished,East,Gajularamaram,46
3,3,2,1,1620,1520,4,5,Unfurnished,East,Gajularamaram,72.9
3,3,0,0,1650,1550,5,5,Unfurnished,East,Gajularamaram,60
3,2,3,0,1933,1833,2,9,Furnished,West,Gajularamaram,70
2,2,0,0,1000,900,3,3,Unfurnished,North,Gandhi Nagar,30
3,2,4,0,1225,1125,2,4,Unfurnished,South,Gandhinagar-Indira Park Road,60
2,2,0,0,1000,1000,2,5,Unfurnished,East,Gandi Maisamma,36
2,2,2,0,1000,1000,1,5,Unfurnished,East,Gandi Maisamma,36
2,2,2,0,1000,1000,2,5,Unfurnished,North,Gandi Maisamma,36
2,2,0,0,1300,1000,2,5,Unfurnished,East,Gangaram,42
2,2,0,1,1126,21,1,5,Unfurnished,East,Ghatkesar,42.8
2,3,0,1,1100,1100,2,5,Unfurnished,East,Ghatkesar,33
3,3,0,0,1787,1250,0,5,Unfurnished,East,Ghatkesar,68.8
3,3,2,0,1350,1080,4,5,Unfurnished,West,Gopalnagar Society,72
2,2,2,0,1125,900,2,5,Unfurnished,East,Gopanapalli,54
3,3,0,1,1503,1202,5,5,Unfurnished,East,Gopanapalli,72.1
2,2,2,0,1068,891,1,10,Unfurnished,East,Gopanpally,62
2,2,0,1,1145,920,1,3,Unfurnished,East,Goshamahal,75
2,2,0,0,1199,1199,0,0,Unfurnished,East,Gowdavalli,43.2
3,2,0,0,1400,1300,0,4,Semi-Furnished,North - East,Gudimalkapur,65
