Bedrooms,Bathrooms,Balconies,Pujaz_Rooms,Super_area,Carpet_area,Furnished_status,Facing,Address,Price
2,2,0,0,1200,1200,Furnished,None,Neknampur,46.5
2,2,0,1,1200,900,Unfurnished,West,Narapally,66
2,2,0,1,1200,1350,Furnished,East,Mallampet,62
2,2,0,1,1200,1200,Unfurnished,West,KrishnaReddyPet,63
2,2,0,0,1200,1100,Unfurnished,North - East,BhagyanagarColony,65
2,3,0,1,1200,1150,Unfurnished,West,Beeramguda,60
2,2,0,0,1200,1200,Unfurnished,None,Beeramguda,66
2,2,0,1,1200,1200,Semi-Furnished,None,Beeramguda,61
2,3,0,1,1200,1150,Unfurnished,East,Beeramguda,64.5
2,3,0,1,1200,1150,Unfurnished,West,Beeramguda,57
2,3,0,1,1200,1150,Unfurnished,East,Beeramguda,70
2,3,0,0,1200,1150,Unfurnished,None,Beeramguda,65
2,3,0,1,1200,1150,Unfurnished,South - East,Beeramguda,68
2,3,0,1,1200,1150,Unfurnished,North,Beeramguda,67
2,3,0,1,1200,1150,Unfurnished,West,Beeramguda,61
2,3,0,1,1200,1150,Unfurnished,None,Beeramguda,65
2,3,0,1,1200,900,Unfurnished,West,Beeramguda,58
2,3,0,1,1200,1150,Unfurnished,North - West,Beeramguda,64
2,3,0,1,1200,1150,Unfurnished,East,Beeramguda,66
2,2,0,0,1200,1200,Unfurnished,North - East,Beeramguda,65
2,3,0,1,1200,1200,Unfurnished,East,Beeramguda,65
2,2,0,1,1200,1100,Unfurnished,West,Beeramguda,65
2,2,0,0,1200,1100,Semi-Furnished,None,Appajunction,58
2,3,0,1,1200,1200,Unfurnished,North - East,KrishnaReddyPet,60
2,2,0,0,1080,120,Unfurnished,None,Peerzadiguda,58
2,2,0,0,1080,1080,Furnished,None,Madinaguda,51
2,2,2,0,1080,120,Semi-Furnished,North,BalajiHillColony,55
2,2,0,0,1197,1000,Unfurnished,East,Bandlaguda-Nagole,45
2,2,0,0,1191,1191,Semi-Furnished,West,Visakhapatnam,62
2,2,0,1,1191,1091,Unfurnished,East,Beeramguda,59.3
2,2,0,1,1191,1091,Unfurnished,East,Beeramguda,59.3
2,2,0,1,1191,1091,Unfurnished,East,Beeramguda,59.3
2,2,0,1,1190,1090,Unfurnished,North,GayatriNagar-Peerzadiguda,51
2,2,0,1,1179,1079,Unfurnished,East,Vanasthalipuram,60
2,2,2,1,1170,1080,Semi-Furnished,East,Beeramguda,62
2,2,0,1,1170,1080,Semi-Furnished,East,Beeramguda,65
2,1,0,0,1053,1350,Unfurnished,East,Machabollaram,65
2,3,0,1,1053,115,Unfurnished,South - East,Nadargul,45
2,3,0,0,1150,1150,Unfurnished,None,Sangareddy,39
2,2,0,1,1150,1150,Unfurnished,North,Rampally,48
2,3,2,1,1150,950,Unfurnished,East,Patelguda,63
2,2,0,1,1150,1503,Unfurnished,East,Pasumamula,60
2,2,0,0,1150,1150,Unfurnished,East,Nagaram,64
2,3,0,1,1150,1200,Unfurnished,None,Nadargul,50
2,3,0,0,1150,1150,Semi-Furnished,None,Peddamberpet,70
2,2,2,0,115,115,Unfurnished,West,Chengincherla,45
2,2,2,0,1130,1030,Unfurnished,None,Miyapur,50.3
2,2,0,0,1017,1017,Unfurnished,None,Nagaram,65
2,2,0,0,1125,1000,Unfurnished,West,EdiBazarWest,60
2,2,0,0,1120,1120,Unfurnished,None,Aminpur,70
2,2,0,0,1115,1115,Semi-Furnished,None,Dammaiguda,60
2,2,0,0,1110,1110,Unfurnished,None,Nagaram,70
2,2,0,0,1105,1105,Unfurnished,None,VRCHomes,68
2,2,0,1,1101,1001,Unfurnished,East,RamachandraPuram,62.2
2,2,0,1,1101,1001,Unfurnished,West,RamachandraPuram,62.2
2,2,0,1,1101,1001,Unfurnished,East,RamachandraPuram,62.2
2,2,0,1,1101,1001,Unfurnished,East,RamachandraPuram,62.2
2,2,0,1,1101,1001,Unfurnished,East,RamachandraPuram,62.2
2,2,0,1,1101,1001,Unfurnished,East,RamachandraPuram,62.2
2,2,0,1,1101,1001,Unfurnished,West,RamachandraPuram,62.2
2,2,0,1,1101,1001,Unfurnished,West,RamachandraPuram,62.2
2,2,0,1,1101,1001,Unfurnished,East,Beeramguda,62.2
2,2,0,1,1101,1001,Unfurnished,West,Beeramguda,62.2
2,2,0,1,1101,1001,Unfurnished,East,Beeramguda,62.2
2,2,0,1,1101,1001,Unfurnished,East,Beeramguda,62.2
2,2,0,1,1101,1001,Unfurnished,East,Beeramguda,62.2
2,2,0,1,1100,1000,Unfurnished,None,Rampally,48.5
